#id, arr_time, task_id, skills, task_prio, order
0, 6.9, 25, [[1,4073],[2,3445]], 9, 1
1, 7.0, 23, [[1,3015],[2,3178]], 17, 1
2, 14.7, 20, [[1,4457]], 17, 0
3, 23.4, 9, [[2,2263],[1,1971]], 20, 0
4, 23.9, 24, [[2,4636],[1,1596]], 15, 1
5, 30.6, 16, [[3,1228],[2,4204],[1,5226]], 18, 0
6, 33.9, 15, [[2,1397],[1,4388]], 5, 1
7, 40.0, 22, [[1,2089]], 17, 0
8, 48.5, 36, [[1,4435],[3,1345]], 7, 1
9, 55.0, 14, [[1,1127],[2,689],[3,5444]], 9, 1
10, 62.0, 4, [[3,5641],[1,4726],[2,3490]], 8, 1
11, 71.5, 27, [[1,4124]], 9, 1
12, 78.9, 35, [[2,3435],[1,3175],[3,3638]], 8, 1
13, 85.4, 30, [[2,2116]], 1, 1
14, 88.2, 31, [[1,2293],[2,1556]], 18, 1
15, 88.3, 16, [[3,3000]], 18, 1
16, 89.4, 16, [[1,2671],[3,4424],[2,1107]], 18, 2
17, 96.7, 24, [[1,4637],[3,798],[2,3637]], 15, 2
18, 99.6, 35, [[2,5892],[1,3069]], 8, 2
19, 103.5, 2, [[3,4075]], 7, 1
20, 109.9, 19, [[1,2358],[2,4790],[3,1777]], 4, 1
21, 110.3, 9, [[2,2094],[3,3558],[1,3281]], 20, 1
22, 111.4, 18, [[3,4595],[2,3997]], 13, 1
23, 113.8, 39, [[1,2902]], 3, 1
24, 119.8, 22, [[3,4170]], 17, 1
25, 128.3, 15, [[2,3075],[1,5883],[3,2832]], 5, 2
26, 137.9, 35, [[1,5129],[3,4066]], 8, 3
27, 140.7, 25, [[3,747]], 9, 2
28, 146.1, 32, [[1,1689],[3,5990],[2,5579]], 20, 1
29, 150.1, 2, [[3,3918]], 7, 2
30, 152.6, 30, [[1,3441],[2,2921]], 1, 2
31, 159.9, 1, [[1,4357]], 4, 1
32, 168.7, 39, [[2,793]], 3, 2
33, 169.2, 22, [[1,5585],[2,974]], 17, 2
34, 176.0, 29, [[1,3303],[2,2616]], 9, 0
35, 178.3, 24, [[1,2439],[3,944]], 15, 3
36, 185.8, 3, [[1,3446]], 7, 1
37, 192.6, 9, [[2,3928]], 20, 2
38, 197.1, 37, [[2,5147]], 11, 1
39, 202.8, 5, [[1,2907],[3,2039],[2,3290]], 19, 1
40, 212.1, 32, [[1,1281],[3,3037]], 20, 1
41, 215.5, 14, [[2,1701],[3,5294]], 9, 2
42, 218.9, 37, [[2,5465],[1,2484],[3,3977]], 11, 2
43, 227.9, 37, [[2,2600],[3,859],[1,2666]], 11, 3
44, 230.1, 14, [[3,5827],[1,2918]], 9, 3
45, 238.7, 10, [[1,4536]], 9, 1
46, 245.2, 27, [[3,3718],[2,709]], 9, 2
47, 250.1, 18, [[1,1265]], 13, 2
48, 251.3, 29, [[1,3425],[3,3573]], 9, 1
49, 258.6, 21, [[3,2844],[2,738]], 1, 0
50, 266.2, 21, [[1,5278]], 1, 1
51, 268.8, 8, [[2,3114],[1,1595]], 17, 1
52, 273.4, 33, [[3,3214],[2,2727]], 2, 1
53, 276.5, 4, [[3,2302],[1,916],[2,2330]], 8, 2
54, 281.0, 31, [[1,3310],[3,505]], 18, 2
55, 287.9, 14, [[3,1846]], 9, 4
56, 289.7, 4, [[1,2808],[3,2257],[2,666]], 8, 3
57, 296.2, 12, [[2,1930],[3,1632],[1,4313]], 4, 0
58, 301.9, 4, [[2,5785],[3,5120]], 8, 4
59, 311.8, 38, [[3,3009],[2,5014],[1,1992]], 5, 1
60, 319.4, 13, [[1,1862]], 15, 1
61, 319.5, 13, [[1,3411],[2,3202]], 15, 2
62, 327.9, 13, [[3,2038],[1,1211],[2,2374]], 15, 3
63, 330.1, 17, [[1,5266],[3,2030],[2,2752]], 15, 1
64, 338.4, 39, [[2,3074],[1,2593],[3,2339]], 3, 2
65, 343.5, 31, [[3,651]], 18, 3
66, 347.0, 29, [[2,695],[3,2362],[1,868]], 9, 2
67, 355.3, 15, [[2,2092],[3,787],[1,2812]], 5, 3
68, 360.4, 35, [[1,5783]], 8, 3
