#id, skills, avail_time
0, [18,15], 3765
1, [10,7,14,6,3,20,13], 4050
2, [5,16,19], 6663
3, [12,14,4,16,19,5,17,9,11,15,20,2,18,3,7,6,8], 3737
4, [5,16,17,20,4,2,8,1,19,13,3,15,10,9,14], 5457
5, [2,1,15,12,5,13,10,16,3,19,14,7,4,8,11,18], 6574
6, [14,15,20,12,5,6,7], 6635
7, [10,1,17,7,15,9,5,6,12,14,13,20,2,18,11,16,19,4,3,8], 3147
8, [7,1,15,5], 4662
9, [20,13,6,12,17,16,18,5,19], 6104
10, [9,2,5,18,4,1,15,17,19,14,10,8,20], 5903
11, [8,11,1,20,17,10,7], 5480
12, [16,5,17], 3104
13, [2,7,5,8,1], 2567
14, [20,14,18,8,9,12,7], 7300
15, [3,17,4,19,14,2,5,15,18,8,1,13,9,16,10], 4717
16, [1,4,8,7,6,16,11,14,10,3], 5779
17, [10,17,9,15,8,5,19,1,3,20,4,18,12,6,16,13,7,11,2], 6912
18, [15,11,9,3,18], 3149
19, [18,11,3,1,6], 4880
20, [7,12,2,20,9,14,17,8,10,3], 6960
21, [11,5,13,7,8,10], 5707
22, [3,5,12,8,20,16,2,9,14,10,13,4,1,17], 6569
23, [6,16,17,9,12,3,18], 7274
24, [2,9,16,11,20,17,12,14,15,4,10], 3310
25, [5,14,9,15,4,3,7,13,18,12,2,10,20], 6592
26, [16,15], 6699
27, [9,3,20,13,19,5,6,14,17,15,18,1], 3039
28, [19,6,12,3,15,11,10,1], 6468
29, [10,16,20,5,11,17,6,15,9,2,12,7,13,1,4,14,8,19,3,18], 5861
30, [17,19], 5853
31, [1,7,12,9,20,5,19,3,18,14], 4092
32, 
